Time Limit: 60s, Operations Limit: 0
Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time
4            2            1          1               1               0            0.0            
4            4            3          3               53              7            0.0            
4            4            4          3               291             15           0.0010063648223876953
8            6            3          3               25              5            0.0            
8            7            7          6               5952            127          0.017017364501953125
8            8            14         11              19984           255          0.0700528621673584
8            8            21         15              14186           255          0.04306387901306152
16           15           15         13              3316982         30932        60.00870966911316
16           16           30         23              2545228         44438        60.01793384552002
16           16           60         41              2745340         46069        60.010414838790894
16           16           90         56              2778469         46298        60.01882314682007
32           32           62         45              2475660         65440        60.02169632911682
32           32           124        83              2502058         65861        60.02173447608948
32           32           248        146             2518226         66055        60.022380113601685
32           32           372        209             2570769         67004        60.02242302894592
64           64           252        155             3734938         56054        60.02582669258118
64           64           504        293             3890628         57752        60.028998136520386
64           64           1008       554             4010591         59559        60.02794551849365
64           64           1512       806             4026359         59549        60.03145742416382
128          128          1016       560             3491169         26908        60.02349638938904
128          128          2032       1094            3785352         29260        60.02647924423218
128          128          4064       2128            4217562         32211        60.03264617919922
128          128          6096       3140            4618073         35713        60.03413200378418
256          256          4080       2128            2212848         8615         60.01437497138977
256          256          8160       4233            2434525         9411         60.01661038398743
256          256          16320      8342            2895189         11087        60.02203917503357
256          256          24480      12416           3318424         12806        60.02672600746155
